month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,24.63,25.73,16.62,11.1,0.51,0.54,0.33,0.29
2014-02,23.27,25.1,18.51,16.04,0.86,0.86,0.24,0.27
2014-03,25.49,27.01,18.27,16.17,1.17,1.06,0.33,0.33
2014-04,21.51,22.93,13.45,12.52,1.37,1.32,0.28,0.32
2014-05,20.84,22.69,13.82,12.97,1.45,1.37,0.22,0.25
2014-06,20.06,22.89,11.79,11.68,1.3,1.3,0.36,0.35
2014-07,26.05,29.79,8.81,8.85,0.77,0.82,0.27,0.34
2014-08,26.61,28.91,9.2,9.39,0.94,0.93,0.32,0.36
2014-09,46.59,34.83,11.2,10.58,1.0,1.01,0.29,0.34
2014-10,54.89,52.09,18.72,16.63,1.02,0.99,0.38,0.39
2014-11,34.96,45.58,21.47,19.43,1.47,1.3,0.36,0.39
2014-12,19.19,23.3,15.69,14.27,1.31,1.3,0.25,0.27
2015-01,25.62,25.11,14.68,13.18,0.95,0.98,0.35,0.37
2015-02,20.5,25.01,14.82,12.82,0.96,0.93,0.3,0.32
2015-03,25.57,25.82,16.17,13.72,1.07,0.98,0.25,0.27
2015-04,17.22,22.67,14.99,13.65,1.57,1.41,0.25,0.27
2015-05,19.43,24.66,11.58,11.4,1.22,1.21,0.35,0.36
2015-06,21.84,25.04,10.38,10.77,1.11,1.19,0.3,0.34
2015-07,25.02,28.62,9.96,9.76,0.84,0.86,0.3,0.36
2015-08,33.53,32.7,11.7,10.24,0.91,0.9,0.36,0.38
2015-09,57.39,56.11,16.97,14.86,1.1,1.06,0.56,0.51
2015-10,82.38,87.03,31.39,30.67,1.2,1.22,0.61,0.67
2015-11,,53.56,28.41,26.93,1.31,1.23,0.43,0.44
2015-12,39.51,42.63,20.0,19.12,0.96,0.98,0.36,0.38
2016-01,29.74,31.1,21.9,18.98,0.98,0.97,0.34,0.33
2016-02,25.39,24.37,17.58,16.05,1.04,1.01,0.28,0.29
2016-03,22.26,23.53,17.59,15.96,1.39,1.33,0.18,0.22
2016-04,17.66,21.7,16.11,14.0,1.8,1.51,0.18,0.2
2016-05,16.89,21.37,13.92,12.78,1.47,1.43,0.22,0.24
2016-06,18.35,22.67,13.16,12.47,1.52,1.4,0.4,0.37
2016-07,23.9,25.13,10.61,10.31,1.19,1.19,0.31,0.35
2016-08,23.28,25.96,10.41,10.3,1.13,1.13,0.38,0.39
2016-09,21.84,23.94,14.13,12.66,1.85,1.52,0.4,0.38
2016-10,28.72,23.71,13.5,12.54,1.53,1.44,0.26,0.29
2016-11,22.7,23.92,15.96,14.07,1.26,1.27,0.34,0.34
2016-12,21.43,23.27,14.06,13.27,1.04,1.08,0.22,0.26
2017-01,25.14,24.4,14.67,13.98,0.95,1.0,0.27,0.31
2017-02,21.87,24.24,14.86,13.59,0.9,0.91,0.24,0.28
2017-03,22.67,23.87,14.17,12.73,1.17,1.15,0.38,0.37
2017-04,24.31,23.77,14.43,12.71,1.35,1.22,0.26,0.28
2017-05,19.77,22.6,12.79,12.04,1.48,1.39,0.24,0.26
2017-06,21.22,23.43,11.74,10.69,1.31,1.23,0.25,0.29
2017-07,22.14,24.69,11.56,10.35,1.04,1.05,0.38,0.39
2017-08,28.91,26.04,11.03,10.0,1.0,0.97,0.44,0.41
2017-09,26.99,27.06,14.8,12.75,1.32,1.22,0.32,0.36
2017-10,29.69,26.72,15.53,14.18,1.13,1.15,0.35,0.37
2017-11,31.8,27.58,18.98,16.89,1.28,1.21,0.22,0.26
2017-12,22.19,24.61,17.34,15.44,1.06,1.06,0.18,0.22
2018-01,23.73,24.82,14.7,13.76,0.83,0.89,0.22,0.27
