month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,4.57,16.24,11.65,13.09,0.4,0.47,0.45,0.54
2014-02,15.57,15.87,13.83,12.5,0.58,0.57,0.56,0.55
2014-03,21.96,20.78,11.19,10.28,0.51,0.5,0.45,0.45
2014-04,17.3,17.12,12.74,12.28,0.67,0.67,0.61,0.57
2014-05,17.11,15.44,11.85,10.96,0.88,0.82,0.28,0.28
2014-06,22.38,19.04,11.01,10.07,0.9,0.84,0.28,0.26
2014-07,25.74,21.49,9.38,8.53,0.64,0.61,0.31,0.29
2014-08,17.18,17.98,9.48,8.78,0.76,0.72,0.45,0.39
2014-09,35.54,31.72,8.69,8.26,0.64,0.61,0.21,0.24
2014-10,31.22,26.83,14.95,14.04,0.69,0.64,0.34,0.32
2014-11,12.27,14.36,11.75,10.46,0.75,0.7,0.38,0.33
2014-12,12.79,14.74,12.89,11.59,0.73,0.66,0.48,0.43
2015-01,19.1,19.91,13.14,11.61,0.56,0.52,0.66,0.58
2015-02,31.37,26.84,12.91,11.28,0.6,0.55,0.45,0.42
2015-03,20.17,19.93,11.68,10.49,0.66,0.6,0.43,0.41
2015-04,14.47,14.78,12.35,11.0,0.85,0.78,0.55,0.45
2015-05,14.45,16.01,12.27,11.07,0.81,0.74,0.41,0.37
2015-06,20.28,17.58,10.41,9.45,0.86,0.79,0.29,0.28
2015-07,17.96,16.43,8.24,7.32,0.6,0.54,0.42,0.35
2015-08,24.58,21.36,8.8,7.78,0.6,0.54,0.35,0.32
2015-09,36.87,29.52,14.47,12.42,0.66,0.6,0.31,0.3
2015-10,48.74,42.91,20.36,18.14,0.69,0.57,0.39,0.33
2015-11,14.07,14.06,16.69,14.56,0.78,0.71,0.38,0.34
2015-12,21.4,20.45,13.55,11.5,0.5,0.45,0.56,0.49
2016-01,21.82,20.4,12.72,11.01,0.45,0.42,0.47,0.47
2016-02,23.76,22.84,12.39,11.03,0.46,0.44,0.51,0.5
2016-03,23.07,21.69,10.36,9.49,0.56,0.51,0.36,0.36
2016-04,19.76,18.52,12.99,11.34,0.87,0.77,0.43,0.4
2016-05,14.58,13.15,12.59,11.31,1.04,0.94,0.33,0.28
2016-06,10.91,12.94,11.79,10.63,0.96,0.87,0.45,0.34
2016-07,20.05,18.66,9.57,8.49,0.78,0.69,0.39,0.33
2016-08,19.01,19.12,8.28,8.15,0.69,0.64,0.31,0.29
2016-09,16.58,17.83,8.98,8.43,0.83,0.72,0.27,0.26
2016-10,18.95,17.49,9.65,9.34,0.93,0.84,0.3,0.27
2016-11,16.48,15.63,10.98,9.59,0.76,0.69,0.39,0.33
2016-12,15.54,15.63,12.04,10.58,0.68,0.63,0.42,0.38
2017-01,19.17,20.09,11.92,10.25,0.57,0.53,0.56,0.49
2017-02,18.48,18.68,11.89,10.66,0.61,0.57,0.48,0.47
2017-03,17.69,17.69,12.92,11.06,0.77,0.68,0.39,0.36
2017-04,17.98,18.09,12.47,11.33,0.71,0.67,0.39,0.38
2017-05,16.2,16.89,12.31,11.02,0.92,0.8,0.29,0.28
2017-06,12.07,16.05,10.91,9.59,0.88,0.77,0.28,0.26
2017-07,17.46,18.74,9.53,8.32,0.74,0.65,0.29,0.27
2017-08,10.23,12.81,9.52,8.69,0.69,0.61,0.29,0.27
2017-09,16.13,16.55,9.6,9.25,0.75,0.69,0.28,0.28
2017-10,18.22,18.69,9.95,9.21,0.67,0.61,0.24,0.26
2017-11,12.45,13.96,12.5,10.4,0.78,0.64,0.33,0.29
2017-12,14.68,15.35,13.33,11.75,0.63,0.6,0.39,0.39
2018-01,15.75,18.21,12.53,10.87,0.63,0.56,0.55,0.48
2018-02,16.05,17.42,13.84,11.91,0.61,0.56,0.48,0.48
2018-03,24.91,22.5,11.22,10.81,0.57,0.58,0.42,0.43
2018-04,16.2,16.48,12.15,11.31,0.74,0.69,0.36,0.36
2018-05,10.39,14.86,10.81,10.04,0.89,0.78,0.22,0.24
2018-06,16.13,19.07,10.08,9.55,0.91,0.82,0.29,0.28
2018-07,20.8,21.22,9.09,8.66,0.75,0.7,0.29,0.27
2018-08,19.12,19.97,9.87,8.54,0.75,0.66,0.29,0.29
2018-09,28.62,26.32,9.24,8.62,0.65,0.61,0.21,0.25
2018-10,17.66,20.23,11.33,10.23,0.82,0.75,0.43,0.38
2018-11,13.11,13.86,11.66,10.56,0.77,0.71,0.34,0.33
2018-12,18.54,17.48,11.8,10.29,0.69,0.62,0.41,0.37
2019-01,21.54,21.56,11.81,10.57,0.55,0.51,0.52,0.54
2019-02,27.37,26.66,10.36,9.94,0.49,0.49,0.36,0.43
2019-03,19.6,17.68,12.39,11.07,0.66,0.62,0.33,0.34
2019-04,18.07,17.9,12.5,11.57,0.75,0.71,0.34,0.34
2019-05,9.82,11.23,11.66,10.6,0.67,0.63,0.27,0.29
2019-06,18.22,19.76,11.58,10.45,0.81,0.73,0.25,0.26
2019-07,22.44,19.6,8.98,8.38,0.6,0.57,0.31,0.3
2019-08,21.97,19.76,9.7,8.91,0.57,0.56,0.25,0.27
2019-09,29.41,25.56,13.39,12.15,0.63,0.6,0.28,0.31
2019-10,11.11,12.06,9.64,8.99,0.7,0.64,0.26,0.28
2019-11,19.92,17.56,11.75,10.73,0.59,0.56,0.26,0.27
2019-12,18.12,16.55,11.71,10.58,0.58,0.55,0.38,0.39
2020-01,19.8,21.3,10.33,9.66,0.45,0.45,0.44,0.52
2020-02,27.41,26.02,10.77,10.17,0.5,0.48,0.46,0.5
2020-03,24.18,22.59,11.07,10.42,0.65,0.63,0.35,0.37
2020-04,14.04,16.29,13.28,12.12,0.79,0.76,0.37,0.36
2020-05,13.9,16.81,12.74,11.28,0.9,0.8,0.25,0.25
2020-06,13.55,16.71,11.07,10.37,0.96,0.88,0.25,0.25
2020-07,14.64,16.44,9.22,8.56,0.79,0.72,0.3,0.27
2020-08,12.63,16.95,9.6,8.72,0.84,0.74,0.37,0.32
2020-09,14.3,17.38,8.56,8.36,0.68,0.63,0.31,0.3
2020-10,15.22,14.97,9.42,9.19,0.7,0.68,0.26,0.27
2020-11,13.07,13.74,10.46,9.19,0.62,0.57,0.29,0.28
2020-12,13.78,14.88,11.24,9.41,0.6,0.54,0.34,0.34
2021-01,22.52,23.01,9.65,8.47,0.5,0.48,0.39,0.41
2021-02,22.6,23.51,11.62,10.81,0.54,0.51,0.5,0.52
2021-03,16.08,18.2,10.95,9.85,0.68,0.62,0.37,0.37
2021-04,17.08,16.18,12.49,11.02,0.71,0.65,0.39,0.35
2021-05,17.58,18.81,11.35,10.72,0.86,0.78,0.24,0.24
2021-06,11.31,15.23,10.55,9.21,0.8,0.71,0.29,0.27
2021-07,18.04,18.34,9.53,8.65,0.71,0.65,0.32,0.3
2021-08,14.43,15.87,9.28,8.56,0.7,0.66,0.33,0.31
2021-09,15.63,16.81,9.29,8.75,0.73,0.64,0.23,0.25
2021-10,14.12,16.18,9.26,8.93,0.73,0.68,0.25,0.26
2021-11,12.27,16.02,9.98,8.98,0.8,0.73,0.32,0.29
2021-12,21.03,20.79,10.26,9.73,0.6,0.58,0.4,0.39
2022-01,20.02,21.67,9.57,8.69,0.47,0.45,0.51,0.52
2022-02,31.65,31.59,9.23,8.04,0.51,0.45,0.45,0.46
2022-03,18.87,18.76,10.89,9.47,0.75,0.67,0.33,0.33
2022-04,17.49,18.89,11.38,10.09,0.8,0.71,0.3,0.29
2022-05,13.61,16.61,11.5,10.27,0.93,0.82,0.28,0.26
2022-06,16.32,16.46,9.22,8.75,0.78,0.73,0.28,0.29
2022-07,18.56,18.32,10.01,9.18,0.84,0.76,0.3,0.28
2022-08,14.45,16.82,8.3,8.14,0.73,0.67,0.32,0.31
2022-09,16.55,19.94,8.08,7.92,0.68,0.65,0.37,0.33
2022-10,17.78,18.12,9.66,9.14,0.78,0.73,0.25,0.27
2022-11,11.36,14.59,10.66,9.64,0.83,0.76,0.32,0.29
2022-12,17.76,16.97,12.0,10.46,0.73,0.66,0.46,0.4
2023-01,20.13,21.1,9.85,8.76,0.55,0.53,0.47,0.43
2023-02,25.38,25.63,9.39,8.83,0.49,0.48,0.44,0.48
2023-03,14.22,15.85,10.89,9.84,0.66,0.61,0.4,0.41
2023-04,10.88,13.09,11.73,10.3,0.73,0.68,0.36,0.32
2023-05,19.39,21.91,9.97,9.61,0.72,0.68,0.21,0.24
2023-06,19.12,18.73,10.36,9.43,0.73,0.67,0.28,0.28
2023-07,19.46,20.59,8.73,8.54,0.6,0.58,0.3,0.29
2023-08,17.18,18.87,9.21,8.73,0.6,0.57,0.3,0.3
2023-09,17.97,18.08,9.42,8.84,0.62,0.58,0.25,0.25
2023-10,19.38,20.95,9.64,9.43,0.57,0.56,0.27,0.28
2023-11,13.83,13.82,11.04,10.28,0.6,0.58,0.39,0.37
2023-12,13.21,14.64,10.54,10.18,0.5,0.52,0.55,0.55
2024-01,22.41,24.04,10.54,10.12,0.45,0.44,0.5,0.55
2024-02,25.42,25.81,10.3,10.08,0.5,0.5,0.42,0.46
2024-03,25.53,27.14,9.71,9.75,0.58,0.56,0.36,0.38
2024-04,18.81,19.83,11.13,10.75,0.79,0.75,0.38,0.38
2024-05,19.58,19.24,11.35,11.05,0.79,0.78,0.27,0.28
2024-06,19.91,16.43,10.82,10.57,0.87,0.86,0.37,0.33
2024-07,19.99,18.56,10.03,9.59,0.78,0.75,0.34,0.32
2024-08,14.2,15.8,8.81,8.52,0.62,0.63,0.35,0.36
2024-09,15.07,16.56,9.45,9.41,0.6,0.6,0.25,0.25
2024-10,17.94,18.35,10.44,10.16,0.61,0.6,0.25,0.25
2024-11,13.02,13.44,10.58,10.33,0.64,0.64,0.32,0.32
2024-12,13.84,15.51,11.88,11.22,0.64,0.62,0.44,0.43
